City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Poum,NC,74.82,clear sky,-20.2333,164.0167,Gîte kajeon
4,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
5,Manggar,ID,86.11,broken clouds,-2.8833,108.2667,Guest Hotel
9,Eydhafushi,MV,83.34,overcast clouds,5.1033,73.0708,Soneva Fushi
12,Saint-Philippe,RE,77.22,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Sao Miguel Do Araguaia,BR,82.8,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
19,Airai,TL,81.05,broken clouds,-8.9266,125.4092,Juvinal Martin
27,Rikitea,PF,74.82,overcast clouds,-23.1203,-134.9692,People ThankYou
32,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
35,Hirara,JP,86.27,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
38,Esperance,AU,75.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
40,Brufut,GM,77.09,few clouds,13.3814,-16.7518,Sheraton Gambia Hotel Resort & Spa
42,Vaini,TO,73.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
45,Bengkulu,ID,74.37,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
52,Bambous Virieux,MU,73.65,moderate rain,-20.3428,57.7575,Casa Tia Villa
53,Meulaboh,ID,84.22,overcast clouds,4.1363,96.1285,Kost Pria
62,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
65,Hobyo,SO,80.04,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
67,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
73,Nakhon Thai,TH,84.11,broken clouds,17.1006,100.8374,Phet resort
75,Kudahuvadhoo,MV,83.32,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
76,Hilo,US,73.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
78,Ahuimanu,US,82.11,few clouds,21.4447,-157.8378,Paradise Bay Resort
80,Tautira,PF,80.62,broken clouds,-17.7333,-149.15,Pension Oaoa
81,Bom Jesus,BR,76.41,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
88,Kavieng,PG,84.81,clear sky,-2.5744,150.7967,Nusa Island Retreat
90,Puerto Ayacucho,VE,75.72,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
92,Alta Floresta,BR,73.81,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
93,Moerai,PF,74.17,overcast clouds,-22.4333,-151.3333,Le Manotel
95,Sao Filipe,CV,79.75,clear sky,14.8961,-24.4956,Hotel Xaguate
97,San Rafael Del Sur,NI,76.17,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
101,Biltine,TD,82,few clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
104,Tual,ID,83.37,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
105,Souillac,MU,73.78,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
111,Butaritari,KI,82.17,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
112,Kavaratti,IN,82.45,moderate rain,10.5669,72.642,Hotels in Lakshadweep Islands
113,Malindi,KE,80.76,scattered clouds,-3.2175,40.1191,African House Resort
114,Hithadhoo,MV,83.16,overcast clouds,-0.6,73.0833,Scoop Guest House
117,Barauna,BR,74.86,clear sky,-5.08,-37.6167,Pousada Rancho do Sabiá
119,Faanui,PF,80.04,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
126,Mahebourg,MU,73.69,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
127,Nargana,PA,79.36,overcast clouds,9.4428,-78.5906,Dubbir
131,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
133,Cabo San Lucas,MX,85.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Tura,IN,85.68,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
138,Buala,SB,82.69,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
141,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
143,Mount Isa,AU,74.97,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
145,San Policarpo,PH,87.82,broken clouds,12.1791,125.5072,Agapita M. Nicart
146,Jacksonville,US,75.2,mist,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
154,Diffa,NE,82.47,overcast clouds,13.3154,12.6113,ProDAF/Diffa
158,Champerico,GT,82.35,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
166,Pakxan,LA,74.89,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
173,Grand Gaube,MU,73.8,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
181,Atuona,PF,78.55,few clouds,-9.8,-139.0333,Villa Enata
182,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
188,Sabang,ID,82.87,broken clouds,5.8933,95.3214,Hotel Citra
190,Luanda,AO,73.4,broken clouds,-8.8368,13.2343,Hotel Fórum
193,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
195,Coro,VE,78.58,broken clouds,11.4045,-69.6734,Federal
196,Lazaro Cardenas,MX,78.89,scattered clouds,17.9583,-102.2,quinta antigua
199,Bac Ninh,VN,73.49,moderate rain,21.1833,106.05,Nhà Nghỉ Xuân Hòa
200,Ballina,AU,73.58,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
203,Kieta,PG,84.27,light rain,-6.2167,155.6333,Uruna Bay Retreat
206,Senador Guiomard,BR,78.55,broken clouds,-10.1522,-67.7392,Paraíso Hotel
207,Omboue,GA,76.26,overcast clouds,-1.5746,9.2618,Hotel Olako
208,Tomatlan,MX,76.68,broken clouds,19.9333,-105.25,El Salvial
210,Santa Rosalia,MX,75.34,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
211,La Cruz,MX,80.89,scattered clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
218,Vanimo,PG,84.38,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
