City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,60.8,90,89,1.99,overcast clouds
1,Poum,NC,-20.2333,164.0167,74.82,66,2,14.38,clear sky
2,Lagoa,PT,39.05,-27.9833,69.28,90,100,19.15,overcast clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,40,5.99,scattered clouds
4,Kapaa,US,22.0752,-159.319,84.18,75,75,3,broken clouds
5,Manggar,ID,-2.8833,108.2667,86.11,66,76,11.16,broken clouds
6,Husavik,IS,66.0449,-17.3389,33.71,93,100,3.65,overcast clouds
7,Provideniya,RU,64.3833,-173.3,33.91,75,90,13.42,overcast clouds
8,Gat,IL,31.61,34.7642,69.4,74,0,4.21,clear sky
9,Eydhafushi,MV,5.1033,73.0708,83.34,78,92,16.53,overcast clouds
10,Chuy,UY,-33.6971,-53.4616,59.58,83,98,13.35,overcast clouds
11,Tazovskiy,RU,67.4667,78.7,29.14,79,76,14.36,broken clouds
12,Saint-Philippe,RE,-21.3585,55.7679,77.22,87,8,8.01,clear sky
13,Busselton,AU,-33.65,115.3333,55.09,81,98,26.13,overcast clouds
14,Castro,BR,-24.7911,-50.0119,56.12,96,100,11.25,overcast clouds
15,Ribeira Grande,PT,38.5167,-28.7,70.11,94,100,22.97,overcast clouds
16,Jumilla,ES,38.4792,-1.325,59.05,80,63,2.77,broken clouds
17,Polunochnoye,RU,60.8697,60.4153,29.41,72,100,6.17,overcast clouds
18,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,82.8,45,100,3.06,overcast clouds
19,Airai,TL,-8.9266,125.4092,81.05,39,54,2.91,broken clouds
20,Waipawa,NZ,-41.4122,175.5153,55.45,69,100,21.9,overcast clouds
21,Kantang,TH,7.4054,99.5156,91.49,55,20,10.36,few clouds
22,Khatanga,RU,71.9667,102.5,15.12,95,100,6.4,light snow
23,Pisco,PE,-13.7,-76.2167,62.65,88,90,5.75,mist
24,Costa Rica,BR,-23.4167,-54.65,65.25,90,97,9.37,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,12.66,clear sky
26,Zhigansk,RU,66.7697,123.3711,31.32,96,76,13.89,light snow
27,Rikitea,PF,-23.1203,-134.9692,74.82,77,100,14.63,overcast clouds
28,Ilulissat,GL,69.2167,-51.1,33.82,75,75,3.44,broken clouds
29,Hami,CN,42.8,93.45,52.99,21,7,7.31,clear sky
30,Luau,AO,-10.7073,22.2247,72.3,39,98,3.85,overcast clouds
31,Coihaique,CL,-45.5752,-72.0662,48.15,81,75,8.05,light rain
32,Padang,ID,-0.9492,100.3543,84.25,76,99,6.55,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,38.86,81,40,5.75,light rain
34,Saint-Francois,FR,46.4154,3.9054,36.48,100,90,0,fog
35,Hirara,JP,24.8,125.2833,86.27,84,75,26.46,light rain
36,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.91,light rain
37,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,100,4.61,overcast clouds
38,Esperance,AU,-33.8667,121.9,75.04,30,88,24.16,overcast clouds
39,Hobart,AU,-42.8794,147.3294,58.01,59,40,1.99,scattered clouds
40,Brufut,GM,13.3814,-16.7518,77.09,94,20,0,few clouds
41,Hermanus,ZA,-34.4187,19.2345,61.9,51,100,5.46,overcast clouds
